Open,High,Low,Close,Volume
28.459999,28.994286,28.338572,28.655714,73814300
28.73,28.811428,28.395714,28.558571,106214500
28.891428,28.967142,28.118572,28.138571,116440800
28.422857,28.774286,27.964285,28.032858,178815000
28.202858,28.425714,28.038572,28.068571,112179900
28.528572,28.554285,27.182858,27.617144,206721200
27.617144,27.681429,26.954287,26.992857,178689700
27.051428,27.478571,26.957144,27.124287,172599700
27.325714,28.308571,27.187143,28.257143,171195500
28.5,28.528572,28.017143,28.061428,122417400
28.254286,28.285715,27.632856,27.809999,107443700
27.91,28.204287,27.508572,28.139999,123947600
27.975714,28.215714,27.610001,27.738571,104864900
27.871429,28.071428,27.792856,27.861429,88246200
27.751429,27.857143,27.285715,27.408571,97209700
27.595715,27.928572,27.514286,27.918571,152192600
28.007143,28.535715,27.952858,28.318571,152976600
28.491428,28.692858,28.379999,28.622858,87378900
28.742857,28.911428,28.687143,28.871429,86381400
29.078571,29.907143,29.049999,29.862858,125222300
30.245714,30.564285,29.944286,30.23,161141400
30.375713,30.388571,29.818571,29.871429,111301400
29.832857,30.285715,29.758572,30.234285,103021100
30.447144,30.478571,30.08,30.104286,88102700
30.49,30.642857,30.34,30.572857,123432400
30.657143,30.798571,30.464285,30.625713,150476200
30.625713,30.747143,30.107143,30.138571,138040000
30.25,30.285715,29.864286,30.082857,119282800
30.042856,30.285715,29.865715,30.282858,111902700
30.4,30.428572,29.778572,30.015715,115557400
29.884285,29.967142,29.488571,29.674286,148614900
29.695715,30.132856,29.157143,30.092857,151473000
30.015715,30.065714,29.860001,29.918571,108223500
30.132856,30.228571,29.41,29.418571,148516900
29.761429,30.741428,29.605715,30.719999,182501900
30.701429,30.792856,29.928572,30.247143,153038200
30.297142,30.472857,29.601429,29.724285,152038600
29.540001,29.642857,28.165714,28.25,220441900
28.93,29.242857,28.598572,29.01,266424900
29.421429,30.530001,28.940001,29.42,466777500
29.549999,30.082857,28.504286,29.697144,430642100
29.275715,29.357143,28.385714,28.469999,293375600
28.725714,28.885714,27.178572,27.437143,311488100
27.481428,28,27.328571,27.818571,187469100
27.987143,28.045713,27.625713,27.98,174585600
27.881428,28.6,27.774286,28.461428,153832000
28.104286,28.338572,27.367144,27.435715,189413000
